,target_size,f1,f2,k,i,total_multiplications,configuration_mismatch
132,1000000,4,2,5,41,1008600,0.0086
133,1000000,4,2,7,29,989016,0.010984
134,1000000,4,3,2,94,989632,0.010368
135,1000000,4,3,5,38,1010800,0.0108
136,1000000,4,3,7,27,1000188,0.000188
137,1000000,4,4,2,88,991232,0.008768
138,1000000,4,4,5,35,980000,0.02
139,1000000,4,4,7,25,980000,0.02
140,10000000,1,1,2,1118,9999392,6.08e-05
141,10000000,1,1,5,447,9990450,0.000955
142,10000000,1,1,7,319,9972578,0.0027422
143,10000000,1,2,2,913,10002828,0.0002828
144,10000000,1,2,5,365,9991875,0.0008125
145,10000000,1,2,7,261,10013787,0.0013787
146,10000000,1,3,2,791,10010896,0.0010896
147,10000000,1,3,5,316,9985600,0.00144
148,10000000,1,3,7,226,10010896,0.0010896
149,10000000,1,4,2,707,9996980,0.000302
150,10000000,1,4,5,283,10011125,0.0011125
151,10000000,1,4,7,202,9996980,0.000302
152,10000000,2,1,2,645,9984600,0.00154
153,10000000,2,1,5,258,9984600,0.00154
154,10000000,2,1,7,184,9953664,0.0046336
155,10000000,2,2,2,559,9999392,6.08e-05
156,10000000,2,2,5,224,10035200,0.00352
157,10000000,2,2,7,160,10035200,0.00352
158,10000000,2,3,2,500,10000000,0.0
159,10000000,2,3,5,200,10000000,0.0
160,10000000,2,3,7,143,10020010,0.002001
161,10000000,2,4,2,456,9980928,0.0019072
162,10000000,2,4,5,183,10046700,0.00467
163,10000000,2,4,7,130,9937200,0.00628
164,10000000,3,1,2,456,9980928,0.0019072
165,10000000,3,1,5,183,10046700,0.00467
166,10000000,3,1,7,130,9937200,0.00628
167,10000000,3,2,2,408,9987840,0.001216
168,10000000,3,2,5,163,9963375,0.0036625
169,10000000,3,2,7,117,10061415,0.0061415
170,10000000,3,3,2,373,10017288,0.0017288
171,10000000,3,3,5,149,9990450,0.000955
172,10000000,3,3,7,106,9910152,0.0089848
173,10000000,3,4,2,345,9998100,0.00019
174,10000000,3,4,5,138,9998100,0.00019
175,10000000,3,4,7,99,10085229,0.0085229
176,10000000,4,1,2,354,10025280,0.002528
177,10000000,4,1,5,141,9940500,0.00595
178,10000000,4,1,7,101,9996980,0.000302
179,10000000,4,2,2,323,10015584,0.0015584
180,10000000,4,2,5,129,9984600,0.00154
181,10000000,4,2,7,92,9953664,0.0046336
182,10000000,4,3,2,299,10012912,0.0012912
183,10000000,4,3,5,120,10080000,0.008
184,10000000,4,3,7,85,9912700,0.00873
185,10000000,4,4,2,280,10035200,0.00352
186,10000000,4,4,5,112,10035200,0.00352
187,10000000,4,4,7,80,10035200,0.00352
188,100000000,1,1,2,3536,100026368,0.00026368
189,100000000,1,1,5,1414,99969800,0.000302
190,100000000,1,1,7,1010,99969800,0.000302
191,100000000,1,2,2,2887,100017228,0.00017228
192,100000000,1,2,5,1155,100051875,0.00051875
193,100000000,1,2,7,825,100051875,0.00051875
194,100000000,1,3,2,2500,100000000,0.0
195,100000000,1,3,5,1000,100000000,0.0
196,100000000,1,3,7,714,99920016,0.00079984
197,100000000,1,4,2,2236,99993920,6.08e-05
198,100000000,1,4,5,894,99904500,0.000955
199,100000000,1,4,7,639,100038645,0.00038645
200,100000000,2,1,2,2041,99976344,0.00023656
201,100000000,2,1,5,816,99878400,0.001216
202,100000000,2,1,7,583,99927366,0.00072634
203,100000000,2,2,2,1768,100026368,0.00026368
204,100000000,2,2,5,707,99969800,0.000302
205,100000000,2,2,7,505,99969800,0.000302
206,100000000,2,3,2,1581,99982440,0.0001756
207,100000000,2,3,5,632,99856000,0.00144
208,100000000,2,3,7,452,100108960,0.0010896
209,100000000,2,4,2,1443,99947952,0.00052048
210,100000000,2,4,5,577,99878700,0.001213
211,100000000,2,4,7,412,99809472,0.00190528
212,100000000,3,1,2,1443,99947952,0.00052048
213,100000000,3,1,5,577,99878700,0.001213
214,100000000,3,1,7,412,99809472,0.00190528
215,100000000,3,2,2,1291,100000860,8.6e-06
216,100000000,3,2,5,516,99846000,0.00154
217,100000000,3,2,7,369,100078335,0.00078335
218,100000000,3,3,2,1179,100082952,0.00082952
219,100000000,3,3,5,471,99828450,0.0017155
220,100000000,3,3,7,337,100167858,0.00167858
221,100000000,3,4,2,1091,99983604,0.00016396
222,100000000,3,4,5,436,99800400,0.001996
223,100000000,3,4,7,312,100166976,0.00166976
224,100000000,4,1,2,1118,99993920,6.08e-05
225,100000000,4,1,5,447,99904500,0.000955
226,100000000,4,1,7,319,99725780,0.0027422
227,100000000,4,2,2,1021,100074336,0.00074336
228,100000000,4,2,5,408,99878400,0.001216
229,100000000,4,2,7,292,100270464,0.00270464
230,100000000,4,3,2,945,100018800,0.000188
231,100000000,4,3,5,378,100018800,0.000188
232,100000000,4,3,7,270,100018800,0.000188
233,100000000,4,4,2,884,100026368,0.00026368
234,100000000,4,4,5,354,100252800,0.002528
235,100000000,4,4,7,253,100366112,0.00366112
