,target_size,f,k,c,i,total_multiplications,configuration_mismatch
147,100000000,3,3,1,1361,50012667,0.49987333
148,100000000,3,3,2,963,50077926,0.49922074
149,100000000,3,3,3,786,50041476,0.49958524
150,100000000,3,4,1,1021,50037168,0.49962832
151,100000000,3,4,2,722,50043264,0.49956736
152,100000000,3,4,3,590,50126400,0.498736
153,100000000,3,5,1,817,50061675,0.49938325
154,100000000,3,5,2,578,50112600,0.498874
155,100000000,3,5,3,472,50126400,0.498736
156,100000000,3,6,1,681,50086188,0.49913812
157,100000000,3,6,2,482,50181984,0.49818016
158,100000000,3,6,3,393,50041476,0.49958524
159,100000000,3,7,1,584,50135232,0.49864768
160,100000000,3,7,2,413,50147286,0.49852714
161,100000000,3,7,3,337,50083929,0.49916071
162,100000000,4,2,1,1768,50013184,0.49986816
163,100000000,4,2,2,1250,50000000,0.5
164,100000000,4,2,3,1021,50037168,0.49962832
165,100000000,4,3,1,1179,50041476,0.49958524
166,100000000,4,3,2,834,50080032,0.49919968
167,100000000,4,3,3,681,50086188,0.49913812
168,100000000,4,4,1,884,50013184,0.49986816
169,100000000,4,4,2,625,50000000,0.5
170,100000000,4,4,3,511,50135232,0.49864768
171,100000000,4,5,1,708,50126400,0.498736
172,100000000,4,5,2,500,50000000,0.5
173,100000000,4,5,3,409,50184300,0.498157
174,100000000,4,6,1,590,50126400,0.498736
175,100000000,4,6,2,417,50080032,0.49919968
176,100000000,4,6,3,341,50233392,0.49766608
177,100000000,4,7,1,506,50183056,0.49816944
178,100000000,4,7,2,358,50240288,0.49759712
179,100000000,4,7,3,292,50135232,0.49864768
